Quarter;-Max;-1000MW;-900MW;-800MW;-700MW;-600MW;-500MW;-400MW;-300MW;-200MW;-100MW;100MW;200MW;300MW;400MW;500MW;600MW;700MW;800MW;900MW;1000MW;Max
25/01/2023 12:45 -> 13:00;-250.00;-91.67;-91.67;-91.67;-91.67;-91.67;-91.67;-91.67;-91.67;-91.67;84.46;277.70;327.20;327.20;327.20;335.26;593.55;1000.00;3212.76;3212.76;3212.76;3212.76
25/01/2023 13:00 -> 13:15;-250.00;-91.67;-91.67;-91.67;-91.67;-91.67;-91.67;-91.67;-91.67;-91.67;84.46;245.00;298.22;298.22;298.22;335.26;593.55;1000.00;3295.02;3295.02;3295.02;3295.02
25/01/2023 13:15 -> 13:30;-250.00;-91.67;-91.67;-91.67;-91.67;-91.67;-91.67;-91.67;-91.67;-91.67;84.46;245.00;298.22;298.22;298.22;335.26;593.55;1000.00;3198.04;3198.04;3198.04;3198.04
25/01/2023 13:30 -> 13:45;-250.00;-91.67;-91.67;-91.67;-91.67;-91.67;-91.67;-91.67;-91.67;-91.67;84.46;280.00;329.03;329.03;329.03;335.26;593.55;1000.00;3168.39;3168.39;3168.39;3168.39
25/01/2023 13:45 -> 14:00;-250.00;-91.52;-91.52;-91.52;-91.52;-91.52;-91.52;-91.52;-91.52;-91.52;84.46;280.00;328.95;328.95;328.95;408.11;593.69;1000.00;3104.03;3104.03;3104.03;3104.03
25/01/2023 14:00 -> 14:15;-300.00;-91.52;-91.52;-91.52;-91.52;-91.52;-91.52;-91.52;-91.52;-91.52;84.46;264.30;315.13;315.13;315.13;335.26;593.01;945.03;3109.68;3109.68;3109.68;3109.68
25/01/2023 14:15 -> 14:30;-300.00;-91.52;-91.52;-91.52;-91.52;-91.52;-91.52;-91.52;-91.52;-91.52;84.46;264.30;315.13;315.13;315.13;367.55;593.01;1000.00;2958.35;2958.35;2958.35;2958.35
25/01/2023 14:30 -> 14:45;-300.00;-91.52;-91.52;-91.52;-91.52;-91.52;-91.52;-91.52;-91.52;-91.52;84.46;264.30;315.13;315.13;315.13;335.26;592.87;1000.00;2735.07;2735.07;2735.07;2735.07
25/01/2023 14:45 -> 15:00;-300.00;-91.52;-91.52;-91.52;-91.52;-91.52;-91.52;-91.52;-91.52;-91.52;84.46;264.30;315.13;315.13;315.13;335.26;592.87;1000.00;2552.29;2552.29;2552.29;2552.29
25/01/2023 15:00 -> 15:15;-300.00;-91.82;-91.82;-91.82;-91.82;-91.82;-91.82;-91.82;-91.82;-91.82;84.46;243.39;288.50;288.50;288.50;335.26;592.87;1000.00;2562.33;2562.33;2562.33;2562.33
25/01/2023 15:15 -> 15:30;-300.00;-91.76;-91.76;-91.76;-91.76;-91.76;-91.76;-91.76;-91.76;-91.76;84.46;275.00;315.29;315.29;315.29;335.26;592.87;1000.00;2542.28;2542.28;2542.28;2542.28
25/01/2023 15:30 -> 15:45;-300.00;-91.77;-91.77;-91.77;-91.77;-91.77;-91.77;-91.77;-91.77;-91.77;84.46;275.00;314.45;314.45;314.45;335.26;592.87;1000.00;2581.70;2581.70;2581.70;2581.70
25/01/2023 15:45 -> 16:00;-300.00;-91.81;-91.81;-91.81;-91.81;-91.81;-91.81;-91.81;-91.81;-91.81;84.46;275.00;311.93;311.93;311.93;335.26;592.87;1000.00;2595.21;2595.21;2595.21;2595.21
25/01/2023 16:00 -> 16:15;-300.00;-98.46;-98.46;-98.46;-98.46;-98.46;-98.46;-98.46;-98.46;-98.46;84.46;273.00;339.21;339.21;339.21;339.21;592.87;1000.00;3165.79;3165.79;3165.79;3165.79
25/01/2023 16:15 -> 16:30;-300.00;-98.57;-98.57;-98.57;-98.57;-98.57;-98.57;-98.57;-98.57;-98.57;84.46;242.50;264.70;270.87;279.50;335.26;592.87;1000.00;3322.69;3322.69;3322.69;3322.69
25/01/2023 16:30 -> 16:45;-300.00;-98.58;-98.58;-98.58;-98.58;-98.58;-98.58;-98.58;-98.58;-98.58;84.46;242.50;264.70;270.87;279.50;335.26;592.87;1000.00;3199.19;3199.19;3199.19;3199.19
25/01/2023 16:45 -> 17:00;-300.00;-98.58;-98.58;-98.58;-98.58;-98.58;-98.58;-98.58;-98.58;-98.58;84.46;242.50;264.70;270.87;279.50;335.26;592.87;1000.00;3215.59;3215.59;3215.59;3215.59
25/01/2023 17:00 -> 17:15;-300.00;-98.56;-98.56;-98.56;-98.56;-98.56;-98.56;-98.56;-98.56;-98.56;84.46;291.01;293.62;293.62;293.62;335.26;594.39;1450.00;3215.59;3215.59;3215.59;3215.59
25/01/2023 17:15 -> 17:30;-300.00;-98.59;-98.59;-98.59;-98.59;-98.59;-98.59;-98.59;-98.59;-98.59;84.46;291.01;293.57;293.57;293.57;335.26;594.39;1450.00;3207.50;3207.50;3207.50;3207.50
25/01/2023 17:30 -> 17:45;-300.00;-98.50;-98.50;-98.50;-98.50;-98.50;-98.50;-98.50;-98.50;-98.50;84.46;291.01;295.33;295.33;295.33;364.51;406.00;594.39;1450.00;3304.90;3304.90;3304.90
25/01/2023 17:45 -> 18:00;-300.00;-98.48;-98.48;-98.48;-98.48;-98.48;-98.48;-98.48;-98.48;-98.48;84.46;291.01;295.33;295.33;295.33;368.33;406.00;594.39;1450.00;3300.88;3300.88;3300.88
25/01/2023 18:00 -> 18:15;-300.00;-98.13;-98.13;-98.13;-98.13;-98.13;-98.13;-98.13;-98.13;-98.13;84.46;522.45;584.57;584.57;584.57;584.57;594.39;1450.00;3222.24;3222.24;3222.24;3222.24
25/01/2023 18:15 -> 18:30;-300.00;-98.34;-98.34;-98.34;-98.34;-98.34;-98.34;-98.34;-98.34;-98.34;84.46;515.61;555.62;555.62;555.62;594.39;623.63;1450.00;3256.72;3256.72;3256.72;3256.72
25/01/2023 18:30 -> 18:45;-300.00;-98.34;-98.34;-98.34;-98.34;-98.34;-98.34;-98.34;-98.34;-98.34;84.46;515.61;555.62;555.62;555.62;587.33;594.39;1450.00;3284.99;3284.99;3284.99;3284.99
25/01/2023 18:45 -> 19:00;-300.00;-98.34;-98.34;-98.34;-98.34;-98.34;-98.34;-98.34;-98.34;-98.34;84.46;515.61;555.62;555.62;555.62;555.62;594.39;1450.00;3230.97;3230.97;3230.97;3230.97
25/01/2023 19:00 -> 19:15;-300.00;-98.34;-98.34;-98.34;-98.34;-98.34;-98.34;-98.34;-98.34;-98.34;84.46;519.62;560.67;560.67;560.67;560.67;594.39;1450.00;3034.23;3034.23;3034.23;3034.23
25/01/2023 19:15 -> 19:30;-300.00;-98.71;-98.71;-98.71;-98.71;-98.71;-98.71;-98.71;-98.71;-98.71;84.46;595.39;654.18;654.18;654.18;654.18;654.18;2000.00;3081.62;3081.62;3081.62;3081.62
25/01/2023 19:30 -> 19:45;-300.00;-98.55;-98.55;-98.55;-98.55;-98.55;-98.55;-98.55;-98.55;-98.55;84.46;590.66;650.13;650.13;650.13;650.13;650.13;2000.00;3176.57;3176.57;3176.57;3176.57
