Quarter;-Max;-1000MW;-900MW;-800MW;-700MW;-600MW;-500MW;-400MW;-300MW;-200MW;-100MW;100MW;200MW;300MW;400MW;500MW;600MW;700MW;800MW;900MW;1000MW;Max
26/01/2023 04:00 -> 04:15;-999.00;-46.72;-46.72;-46.72;-46.72;-46.72;-46.72;-46.72;18.70;47.48;71.35;166.63;167.12;256.40;260.00;270.40;317.48;396.69;396.69;396.69;396.69;3635.71
26/01/2023 04:15 -> 04:30;-999.00;-46.58;-46.58;-46.58;-46.58;-46.58;-46.58;-46.58;18.70;47.48;71.35;166.63;167.12;256.40;260.00;270.40;317.48;396.69;396.69;396.69;396.69;4002.47
26/01/2023 04:30 -> 04:45;-999.00;-46.40;-46.40;-46.40;-46.40;-46.40;-46.40;-46.40;18.70;47.48;71.35;166.63;167.12;256.40;260.00;270.40;317.48;396.69;396.69;396.69;396.69;4002.42
26/01/2023 04:45 -> 05:00;-999.00;-46.22;-46.22;-46.22;-46.22;-46.22;-46.22;-46.22;18.70;47.48;71.35;166.63;167.12;256.40;260.00;270.40;317.48;396.69;396.69;396.69;396.69;4002.33
26/01/2023 05:00 -> 05:15;-999.00;-45.48;-45.48;-45.48;-45.48;-45.48;-45.48;-45.48;19.38;48.51;73.40;166.63;167.12;256.40;260.00;270.40;317.48;396.69;396.69;396.69;396.69;4002.31
26/01/2023 05:15 -> 05:30;-300.00;-45.29;-45.29;-45.29;-45.29;-45.29;-45.29;-45.29;19.38;48.51;73.40;166.63;167.12;256.40;260.00;270.40;317.48;396.69;396.69;396.69;396.69;4002.30
26/01/2023 05:30 -> 05:45;-300.00;-44.59;-44.59;-44.59;-44.59;-44.59;-44.59;-44.59;18.37;48.51;73.40;163.96;164.07;256.40;260.00;270.40;317.48;396.69;396.69;396.69;396.69;4002.37
26/01/2023 05:45 -> 06:00;-300.00;-39.18;-39.18;-39.18;-39.18;-39.18;-39.18;-39.18;26.31;55.83;77.12;163.96;164.07;256.40;260.00;270.40;317.48;396.69;396.69;396.69;396.69;4002.37
26/01/2023 06:00 -> 06:15;-300.00;-39.12;-39.12;-39.12;-39.12;-39.12;-39.12;-39.12;26.30;55.82;77.12;216.34;219.01;219.01;219.01;256.40;260.00;270.40;317.48;396.69;396.69;4002.33
26/01/2023 06:15 -> 06:30;-300.00;-38.91;-38.91;-38.91;-38.91;-38.91;-38.91;-38.91;21.48;55.82;77.12;225.57;235.39;235.39;240.98;256.40;267.67;270.40;396.69;396.69;396.69;4002.34
26/01/2023 06:30 -> 06:45;-300.00;-38.70;-38.70;-38.70;-38.70;-38.70;-38.70;-38.70;7.03;55.82;77.12;225.57;247.64;247.64;256.40;260.00;270.40;270.40;396.69;396.69;408.11;4002.32
26/01/2023 06:45 -> 07:00;-300.00;-38.20;-38.20;-38.20;-38.20;-38.20;-38.20;-38.20;-6.93;55.82;77.12;225.57;256.40;260.00;270.40;317.48;396.69;396.69;593.14;610.45;4002.36;4002.36
26/01/2023 07:00 -> 07:15;-300.00;-38.34;-38.34;-38.34;-38.34;-38.34;-38.34;-38.34;-23.63;55.82;77.12;225.57;256.40;260.00;270.40;317.48;396.69;396.69;593.14;610.45;4002.36;4002.36
26/01/2023 07:15 -> 07:30;-300.00;-38.08;-38.08;-38.08;-38.08;-38.08;-38.08;-38.08;-38.08;55.82;77.12;215.00;256.40;260.00;270.40;317.48;396.69;396.69;408.11;610.45;4002.31;4002.31
26/01/2023 07:30 -> 07:45;-300.00;-38.36;-38.36;-38.36;-38.36;-38.36;-38.36;-38.36;-38.36;55.82;77.12;225.57;256.40;260.00;270.40;317.48;396.69;396.69;610.45;1450.00;4002.22;4002.22
26/01/2023 07:45 -> 08:00;-300.00;-38.76;-38.76;-38.76;-38.76;-38.76;-38.76;-38.76;-38.76;55.82;77.12;225.57;256.40;260.00;270.40;317.48;396.69;593.82;1450.00;4002.23;4002.23;4002.23
26/01/2023 08:00 -> 08:15;-300.00;-41.19;-41.19;-41.19;-41.19;-41.19;-41.19;-41.19;-41.19;53.73;76.06;215.98;256.40;260.00;270.40;317.48;396.69;610.45;1450.00;4000.80;4000.80;4000.80
26/01/2023 08:15 -> 08:30;-300.00;-42.00;-42.00;-42.00;-42.00;-42.00;-42.00;-42.00;-42.00;53.73;76.06;215.98;256.40;260.00;270.40;317.48;396.69;610.45;1450.00;3999.47;3999.47;3999.47
26/01/2023 08:30 -> 08:45;-300.00;-43.42;-43.42;-43.42;-43.42;-43.42;-43.42;-43.42;-43.42;51.24;76.06;215.98;256.40;260.00;270.40;317.48;396.69;610.45;1450.00;3999.39;3999.39;3999.39
26/01/2023 08:45 -> 09:00;-300.00;-44.16;-44.16;-44.16;-44.16;-44.16;-44.16;-44.16;-44.16;35.85;76.06;215.98;256.40;260.00;270.40;317.48;396.69;610.45;1450.00;3999.41;3999.41;3999.41
26/01/2023 09:00 -> 09:15;-300.00;-44.81;-44.81;-44.81;-44.81;-44.81;-44.81;-44.81;-44.81;23.03;76.06;212.45;256.40;260.00;270.40;317.48;396.69;610.45;1450.00;3998.83;3998.83;3998.83
26/01/2023 09:15 -> 09:30;-300.00;-45.49;-45.49;-45.49;-45.49;-45.49;-45.49;-45.49;-45.49;8.96;76.06;212.45;256.40;260.00;270.40;317.48;396.69;610.45;1450.00;3304.26;3304.26;3304.26
26/01/2023 09:30 -> 09:45;-300.00;-46.49;-46.49;-46.49;-46.49;-46.49;-46.49;-46.49;-46.49;-11.16;76.06;212.45;256.40;260.00;270.40;317.48;396.69;610.45;1450.00;3304.26;3304.26;3304.26
26/01/2023 09:45 -> 10:00;-300.00;-45.77;-45.77;-45.77;-45.77;-45.77;-45.77;-45.77;-45.77;3.21;76.06;212.45;256.40;260.00;270.40;317.48;396.69;610.45;1450.00;3426.69;3426.69;3426.69
26/01/2023 10:00 -> 10:15;-300.00;-85.71;-85.71;-85.71;-85.71;-85.71;-85.71;-85.71;-85.71;-85.71;65.26;215.99;256.40;260.00;270.40;317.48;396.69;610.45;1450.00;3444.76;3444.76;3444.76
26/01/2023 10:15 -> 10:30;-300.00;-87.02;-87.02;-87.02;-87.02;-87.02;-87.02;-87.02;-87.02;-87.02;65.26;215.99;256.40;260.00;270.40;317.48;396.69;610.45;1450.00;3724.39;3724.39;3724.39
26/01/2023 10:30 -> 10:45;-300.00;-87.47;-87.47;-87.47;-87.47;-87.47;-87.47;-87.47;-87.47;-87.47;65.26;215.99;256.40;260.00;270.40;317.48;396.69;610.45;1450.00;3767.20;3767.20;3767.20
26/01/2023 10:45 -> 11:00;-300.00;-88.38;-88.38;-88.38;-88.38;-88.38;-88.38;-88.38;-88.38;-88.38;65.26;215.99;256.40;260.00;270.40;317.48;396.69;610.45;1450.00;3582.83;3582.83;3582.83
26/01/2023 11:00 -> 11:15;-300.00;-47.40;-47.40;-47.40;-47.40;-47.40;-47.40;-47.40;-47.40;-28.41;76.06;209.96;256.40;260.00;270.40;317.48;396.69;610.45;1450.00;3582.83;3582.83;3582.83
26/01/2023 11:15 -> 11:30;-300.00;-47.25;-47.25;-47.25;-47.25;-47.25;-47.25;-47.25;-47.25;-25.54;76.06;209.96;256.40;260.00;270.40;317.48;396.69;610.45;1450.00;3583.04;3583.04;3583.04
26/01/2023 11:30 -> 11:45;-300.00;-46.94;-46.94;-46.94;-46.94;-46.94;-46.94;-46.94;-46.94;-19.79;76.06;207.46;256.40;260.00;270.40;317.48;396.69;610.45;1450.00;3585.53;3585.53;3585.53
26/01/2023 11:45 -> 12:00;-300.00;-46.79;-46.79;-46.79;-46.79;-46.79;-46.79;-46.79;-46.79;-16.91;76.06;207.46;256.40;260.00;270.40;317.48;396.69;610.45;1450.00;3588.78;3588.78;3588.78
26/01/2023 12:00 -> 12:15;-300.00;-41.12;-41.12;-41.12;-41.12;-41.12;-41.12;-41.12;-41.12;-8.19;80.74;182.75;256.40;260.00;270.40;317.48;396.69;610.45;1450.00;2000.00;3590.04;3590.04
26/01/2023 12:15 -> 12:30;-300.00;-39.51;-39.51;-39.51;-39.51;-39.51;-39.51;-39.51;-39.51;31.43;80.74;182.75;256.40;260.00;270.40;317.48;396.69;610.45;1450.00;2000.00;3576.85;3576.85
26/01/2023 12:30 -> 12:45;-300.00;-39.13;-39.13;-39.13;-39.13;-39.13;-39.13;-39.13;-39.13;41.64;80.74;182.75;256.40;260.00;270.40;317.48;396.69;610.45;1450.00;2000.00;3583.52;3583.52
26/01/2023 12:45 -> 13:00;-999.00;-38.68;-38.68;-38.68;-38.68;-38.68;-38.68;-38.68;-38.68;54.40;80.74;182.75;256.40;260.00;270.40;317.48;396.69;610.45;1450.00;2000.00;3641.93;3641.93
26/01/2023 13:00 -> 13:15;-999.00;-38.30;-38.30;-38.30;-38.30;-38.30;-38.30;-38.30;-38.30;59.44;80.74;175.27;256.40;260.00;270.40;317.48;396.69;610.45;1450.00;2000.00;3795.90;3795.90
26/01/2023 13:15 -> 13:30;-999.00;-38.18;-38.18;-38.18;-38.18;-38.18;-38.18;-38.18;-38.18;59.46;80.74;175.27;256.40;260.00;270.40;317.48;396.69;610.45;1450.00;2000.00;3632.84;3632.84
26/01/2023 13:30 -> 13:45;-999.00;-38.18;-38.18;-38.18;-38.18;-38.18;-38.18;-38.18;-38.18;59.46;80.74;175.27;256.40;260.00;270.40;317.48;599.18;1000.00;2000.00;3632.84;3632.84;3632.84
26/01/2023 13:45 -> 14:00;-999.00;-38.09;-38.09;-38.09;-38.09;-38.09;-38.09;-38.09;-38.09;59.46;80.74;175.27;256.40;260.00;270.40;317.48;599.18;1000.00;2000.00;3577.06;3577.06;3577.06
26/01/2023 14:00 -> 14:15;-999.00;-38.00;-38.00;-38.00;-38.00;-38.00;-38.00;-38.00;-38.00;59.46;80.74;190.00;256.40;256.40;270.40;270.40;408.11;610.86;1450.00;3578.18;3578.18;3578.18
26/01/2023 14:15 -> 14:30;-999.00;-37.92;-37.92;-37.92;-37.92;-37.92;-37.92;-37.92;-37.92;59.46;80.74;190.00;256.40;256.40;270.40;270.40;408.11;610.45;1450.00;2000.00;3363.73;3363.73
26/01/2023 14:30 -> 14:45;-999.00;-37.75;-37.75;-37.75;-37.75;-37.75;-37.75;-37.75;-37.75;59.46;80.74;176.82;256.40;256.40;270.40;270.40;408.11;610.86;1815.00;3363.73;3363.73;3363.73
26/01/2023 14:45 -> 15:00;-999.00;-37.66;-37.66;-37.66;-37.66;-37.66;-37.66;-37.66;-37.66;59.46;80.74;176.82;256.40;260.00;270.40;270.40;408.11;610.86;2000.00;3360.82;3360.82;3360.82
26/01/2023 15:00 -> 15:15;-999.00;-37.50;-37.50;-37.50;-37.50;-37.50;-37.50;-37.50;-37.50;59.46;80.74;188.00;204.83;256.40;260.00;270.40;317.48;599.18;1000.00;2000.00;3361.71;3361.71
26/01/2023 15:15 -> 15:30;-999.00;-37.33;-37.33;-37.33;-37.33;-37.33;-37.33;-37.33;-37.33;59.46;80.74;188.00;203.67;256.40;260.00;270.40;388.10;599.18;1000.00;2000.00;3377.10;3377.10
26/01/2023 15:30 -> 15:45;-999.00;-37.17;-37.17;-37.17;-37.17;-37.17;-37.17;-37.17;-37.17;59.46;80.74;188.00;202.62;256.40;270.40;270.40;388.10;599.86;1450.00;2000.00;3379.60;3379.60
26/01/2023 15:45 -> 16:00;-999.00;-37.01;-37.01;-37.01;-37.01;-37.01;-37.01;-37.01;-37.01;59.46;80.74;188.00;203.55;256.40;260.00;270.40;388.10;599.86;1450.00;2000.00;3389.69;3389.69
26/01/2023 16:00 -> 16:15;-999.00;-36.91;-36.91;-36.91;-36.91;-36.91;-36.91;-36.91;-36.91;59.36;80.74;188.00;199.36;256.40;268.35;270.40;351.70;408.11;610.86;2000.00;3397.59;3397.59
26/01/2023 16:15 -> 16:30;-999.00;-36.91;-36.91;-36.91;-36.91;-36.91;-36.91;-36.91;-36.91;59.36;80.74;188.00;199.17;238.57;256.40;270.40;270.40;408.11;610.45;1450.00;3382.04;3382.04
26/01/2023 16:30 -> 16:45;-999.00;-36.83;-36.83;-36.83;-36.83;-36.83;-36.83;-36.83;-36.83;59.36;80.74;188.00;199.69;238.57;256.40;268.35;270.40;388.10;599.86;1450.00;2000.00;3256.76
26/01/2023 16:45 -> 17:00;-999.00;-36.83;-36.83;-36.83;-36.83;-36.83;-36.83;-36.83;-36.83;59.36;80.74;188.00;196.80;238.57;256.40;268.35;270.40;388.10;599.86;1450.00;2000.00;3274.76
26/01/2023 17:00 -> 17:15;-999.00;-36.88;-36.88;-36.88;-36.88;-36.88;-36.88;-36.88;-36.88;59.30;80.74;202.05;206.54;256.40;260.00;270.40;317.48;408.11;610.86;2000.00;3326.43;3326.43
26/01/2023 17:15 -> 17:30;-999.00;-36.66;-36.66;-36.66;-36.66;-36.66;-36.66;-36.66;-36.66;59.30;80.74;202.05;206.53;256.40;260.00;270.40;317.48;408.11;610.86;2000.00;3264.61;3264.61
26/01/2023 17:30 -> 17:45;-999.00;-36.51;-36.51;-36.51;-36.51;-36.51;-36.51;-36.51;-36.51;59.30;80.74;202.05;207.14;256.40;260.00;270.40;317.48;408.11;610.86;2000.00;3268.16;3268.16
26/01/2023 17:45 -> 18:00;-999.00;-36.37;-36.37;-36.37;-36.37;-36.37;-36.37;-36.37;-36.37;59.30;80.74;202.05;238.57;256.40;268.35;270.40;388.10;599.86;1450.00;2000.00;3283.49;3283.49
26/01/2023 18:00 -> 18:15;-999.00;-37.17;-37.17;-37.17;-37.17;-37.17;-37.17;-37.17;-37.17;58.20;79.25;204.26;256.40;260.00;270.40;317.48;599.86;1450.00;2000.00;3804.12;3804.12;3804.12
26/01/2023 18:15 -> 18:30;-999.00;-40.97;-40.97;-40.97;-40.97;-40.97;-40.97;-40.97;-40.97;53.86;79.25;205.95;256.40;268.35;270.40;351.70;599.86;1450.00;2000.00;3803.46;3803.46;3803.46
26/01/2023 18:30 -> 18:45;-999.00;-40.66;-40.66;-40.66;-40.66;-40.66;-40.66;-40.66;-40.66;53.86;79.25;205.95;256.40;260.00;270.40;317.48;599.86;1450.00;2000.00;3809.22;3809.22;3809.22
26/01/2023 18:45 -> 19:00;-999.00;-40.30;-40.30;-40.30;-40.30;-40.30;-40.30;-40.30;-40.30;53.86;79.25;205.95;256.40;260.00;270.40;317.48;599.86;1450.00;2000.00;3815.31;3815.31;3815.31
26/01/2023 19:00 -> 19:15;-999.00;-35.59;-35.59;-35.59;-35.59;-35.59;-35.59;-35.59;-35.59;59.52;80.74;197.20;256.40;260.00;270.40;354.98;599.86;1450.00;2000.00;3818.58;3818.58;3818.58
26/01/2023 19:15 -> 19:30;-999.00;-36.22;-36.22;-36.22;-36.22;-36.22;-36.22;-36.22;-30.68;59.52;80.74;197.20;256.40;260.00;270.40;354.98;599.86;1450.00;2000.00;3820.49;3820.49;3820.49
26/01/2023 19:30 -> 19:45;-999.00;-36.16;-36.16;-36.16;-36.16;-36.16;-36.16;-36.16;-19.55;59.52;80.74;197.20;256.40;260.00;270.40;317.48;599.86;1450.00;2000.00;3536.65;3536.65;3536.65
26/01/2023 19:45 -> 20:00;-999.00;-36.10;-36.10;-36.10;-36.10;-36.10;-36.10;-36.10;-4.71;59.52;80.74;197.20;270.40;270.40;392.02;604.61;714.80;1450.00;2000.00;3539.04;3539.04;3539.04
26/01/2023 20:00 -> 20:15;-999.00;-27.64;-27.64;-27.64;-27.64;-27.64;-27.64;-27.64;14.85;61.61;81.34;182.00;256.40;256.40;270.40;270.40;408.11;610.45;1450.00;2000.00;3543.80;3543.80
26/01/2023 20:15 -> 20:30;-999.00;-27.72;-27.72;-27.72;-27.72;-27.72;-27.72;-27.72;21.44;61.61;81.34;182.00;238.57;256.40;268.35;270.40;388.10;599.86;1450.00;2000.00;3544.88;3544.88
26/01/2023 20:30 -> 20:45;-999.00;-27.75;-27.75;-27.75;-27.75;-27.75;-27.75;-27.75;24.74;61.61;81.34;182.00;192.65;256.40;260.00;270.40;317.48;599.18;1000.00;2000.00;3573.90;3573.90
26/01/2023 20:45 -> 21:00;-999.00;-27.79;-27.79;-27.79;-27.79;-27.79;-27.79;-27.79;28.04;61.61;81.34;182.00;256.40;260.00;270.40;317.48;599.18;610.86;2000.00;3573.90;3573.90;3573.90
26/01/2023 21:00 -> 21:15;-999.00;-42.19;-42.19;-42.19;-42.19;-42.19;-42.19;-42.19;-42.19;41.38;76.41;166.89;256.40;260.00;270.40;317.48;599.18;610.86;2000.00;3573.90;3573.90;3573.90
26/01/2023 21:15 -> 21:30;-999.00;-42.16;-42.16;-42.16;-42.16;-42.16;-42.16;-42.16;-42.16;41.38;76.41;166.89;221.21;221.21;221.21;221.21;256.40;260.00;270.40;317.48;599.18;3573.90
26/01/2023 21:30 -> 21:45;-999.00;-42.16;-42.16;-42.16;-42.16;-42.16;-42.16;-42.16;-42.16;41.38;76.41;166.89;221.21;221.21;221.21;221.21;224.10;224.10;224.10;256.40;256.40;3573.90
26/01/2023 21:45 -> 22:00;-999.00;-42.13;-42.13;-42.13;-42.13;-42.13;-42.13;-42.13;-42.13;41.38;76.41;166.89;221.21;221.21;221.21;221.21;224.10;224.10;224.10;256.40;256.40;3573.90
26/01/2023 22:00 -> 22:15;-999.00;-47.76;-47.76;-45.82;-45.82;-45.82;-45.82;-45.82;-44.00;35.78;68.26;166.89;221.21;221.21;221.21;221.21;224.10;224.10;224.10;256.40;256.40;3573.90
26/01/2023 22:15 -> 22:30;-999.00;-47.81;-47.81;-45.86;-45.86;-45.86;-45.86;-45.86;-45.86;35.78;68.26;166.89;221.21;221.21;221.21;221.21;224.10;224.10;224.10;238.57;256.40;3573.90
26/01/2023 22:30 -> 22:45;-999.00;-47.85;-47.85;-45.90;-45.90;-45.90;-45.90;-45.90;-45.90;35.78;68.26;166.89;221.21;221.21;221.21;221.21;224.10;224.10;224.10;256.40;256.40;3573.90
26/01/2023 22:45 -> 23:00;-999.00;-47.85;-47.85;-45.90;-45.90;-45.90;-45.90;-45.90;-45.90;35.78;68.26;166.89;221.21;221.21;221.21;221.21;224.10;224.10;224.10;256.40;256.40;3573.90
26/01/2023 23:00 -> 23:15;-999.00;-47.98;-47.98;-46.02;-46.02;-46.02;-46.02;-46.02;-46.02;35.59;67.87;170.00;221.21;221.21;221.21;221.21;224.10;224.10;224.10;256.40;256.40;3573.90
26/01/2023 23:15 -> 23:30;-999.00;-48.09;-48.09;-46.11;-46.11;-46.11;-46.11;-46.11;-46.11;35.59;67.87;170.00;221.21;221.21;221.21;221.21;224.10;224.10;224.10;238.57;256.40;3573.90
26/01/2023 23:30 -> 23:45;-999.00;-48.19;-48.19;-46.19;-46.19;-46.19;-46.19;-46.19;-46.19;35.59;67.87;170.00;221.21;221.21;221.21;221.21;224.10;224.10;224.10;256.40;256.40;3573.90
26/01/2023 23:45 -> 00:00;-999.00;-48.24;-48.24;-46.28;-46.28;-46.28;-46.28;-46.28;-46.28;35.59;67.87;170.00;221.21;221.21;221.21;221.21;224.10;224.10;224.10;238.57;256.40;3573.90
