Quarter;-Max;-1000MW;-900MW;-800MW;-700MW;-600MW;-500MW;-400MW;-300MW;-200MW;-100MW;100MW;200MW;300MW;400MW;500MW;600MW;700MW;800MW;900MW;1000MW;Max
26/01/2023 00:00 -> 00:15;-300.00;-34.70;-34.70;-34.70;-34.70;-34.70;-34.70;-34.70;-34.70;-34.70;78.22;168.50;240.98;256.40;267.67;270.40;388.10;396.69;396.69;396.69;396.69;2793.71
26/01/2023 00:15 -> 00:30;-300.00;-34.70;-34.70;-34.70;-34.70;-34.70;-34.70;-34.70;-34.70;-34.70;78.22;168.50;240.98;256.40;267.67;270.40;388.10;396.69;396.69;396.69;396.69;2773.10
26/01/2023 00:30 -> 00:45;-300.00;-34.70;-34.70;-34.70;-34.70;-34.70;-34.70;-34.70;-34.70;-34.70;78.22;205.00;260.49;260.49;260.49;270.40;317.48;396.69;396.69;396.69;396.69;2732.07
26/01/2023 00:45 -> 01:00;-300.00;-34.70;-34.70;-34.70;-34.70;-34.70;-34.70;-34.70;-34.70;-34.70;78.22;205.00;247.89;256.40;260.00;270.40;317.48;396.69;396.69;396.69;396.69;2933.42
26/01/2023 01:00 -> 01:15;-300.00;-34.70;-34.70;-34.70;-34.70;-34.70;-34.70;-34.70;-34.70;-34.70;78.22;168.04;256.40;260.00;270.40;317.48;396.69;396.69;396.69;396.69;593.82;2856.62
26/01/2023 01:15 -> 01:30;-300.00;-33.82;-33.82;-33.82;-33.82;-33.82;-33.82;-33.82;-33.82;-0.45;77.12;168.04;256.40;260.00;270.40;317.48;396.69;396.69;396.69;396.69;593.82;2868.12
26/01/2023 01:30 -> 01:45;-300.00;-32.89;-32.89;-32.89;-32.89;-32.89;-32.89;-32.89;-32.89;30.24;77.12;168.04;256.40;260.00;270.40;317.48;396.69;396.69;396.69;396.69;593.82;2850.51
26/01/2023 01:45 -> 02:00;-300.00;-31.91;-31.91;-31.91;-31.91;-31.91;-31.91;-31.91;-31.91;55.89;77.12;168.04;256.40;260.00;270.40;317.48;396.69;396.69;396.69;396.69;593.14;2741.29
26/01/2023 02:00 -> 02:15;-300.00;-30.74;-30.74;-30.74;-30.74;-30.74;-30.74;-30.74;-30.74;55.83;77.12;168.04;181.59;256.40;260.00;270.40;317.48;396.69;396.69;396.69;396.69;2913.53
26/01/2023 02:15 -> 02:30;-300.00;-30.54;-30.54;-30.54;-30.54;-30.54;-30.54;-30.54;-30.54;55.83;77.12;168.04;176.93;256.40;260.00;270.40;317.48;396.69;396.69;396.69;396.69;2876.22
26/01/2023 02:30 -> 02:45;-300.00;-30.52;-30.52;-30.52;-30.52;-30.52;-30.52;-30.52;-30.52;55.83;77.12;168.04;176.61;256.40;260.00;270.40;317.48;396.69;396.69;396.69;396.69;2916.78
26/01/2023 02:45 -> 03:00;-300.00;-30.86;-30.86;-30.86;-30.86;-30.86;-30.86;-30.86;-6.63;55.83;77.12;168.04;197.61;256.40;260.00;270.40;317.48;396.69;396.69;396.69;396.69;3626.31
26/01/2023 03:00 -> 03:15;-999.00;-33.14;-33.14;-33.14;-33.14;-33.14;-33.14;-33.14;25.56;54.71;74.88;168.04;182.81;256.40;260.00;270.40;317.48;396.69;396.69;396.69;396.69;3632.83
26/01/2023 03:15 -> 03:30;-999.00;-33.41;-33.41;-33.41;-33.41;-33.41;-33.41;-33.41;25.56;54.71;74.88;166.63;167.12;256.40;260.00;270.40;317.48;396.69;396.69;396.69;396.69;3630.38
26/01/2023 03:30 -> 03:45;-999.00;-38.81;-38.81;-38.81;-38.81;-38.81;-38.81;-38.81;19.23;47.39;71.16;166.63;167.12;256.40;260.00;270.40;317.48;396.69;396.69;396.69;396.69;3615.24
26/01/2023 03:45 -> 04:00;-999.00;-40.07;-40.07;-40.07;-40.07;-40.07;-40.07;-40.07;18.63;47.39;71.16;166.63;167.12;256.40;260.00;270.40;317.48;396.69;396.69;396.69;396.69;3628.56
