Quarter;-Max;-1000MW;-900MW;-800MW;-700MW;-600MW;-500MW;-400MW;-300MW;-200MW;-100MW;100MW;200MW;300MW;400MW;500MW;600MW;700MW;800MW;900MW;1000MW;Max
27/01/2023 00:00 -> 00:15;-300.00;-87.09;-87.09;-87.09;-87.09;-87.09;-87.09;-87.09;-87.09;-41.82;18.64;166.05;222.12;222.12;222.12;222.12;245.28;261.40;261.40;275.80;275.80;3456.99
27/01/2023 00:15 -> 00:30;-300.00;-163.00;-88.32;-88.32;-88.32;-88.32;-88.32;-88.32;-88.32;-60.73;18.64;166.05;222.12;222.12;222.12;222.12;245.28;261.40;261.40;275.80;275.80;3186.44
27/01/2023 00:30 -> 00:45;-300.00;-163.00;-90.25;-90.25;-90.25;-90.25;-90.25;-90.25;-90.25;-80.25;18.64;166.05;220.84;222.12;222.12;222.12;222.12;239.53;245.28;261.40;269.33;3222.82
27/01/2023 00:45 -> 01:00;-300.00;-163.00;-91.59;-91.59;-91.59;-91.59;-91.59;-91.59;-91.59;-91.59;18.64;166.05;220.84;222.12;222.12;222.12;222.12;239.53;245.28;261.40;269.33;3221.63
27/01/2023 01:00 -> 01:15;-300.00;-163.00;-93.46;-93.46;-93.46;-93.46;-93.46;-93.46;-93.46;-93.46;18.77;165.45;220.84;222.12;222.12;222.12;222.12;239.53;245.28;261.40;269.33;3222.78
27/01/2023 01:15 -> 01:30;-300.00;-163.00;-99.51;-99.51;-99.51;-99.51;-99.51;-99.51;-99.51;-99.51;7.86;202.47;220.84;222.12;222.12;222.12;222.12;239.53;245.28;261.40;269.33;3225.92
27/01/2023 01:30 -> 01:45;-300.00;-163.00;-107.00;-107.00;-107.00;-107.00;-107.00;-107.00;-107.00;-107.00;5.45;192.43;220.84;222.12;222.12;222.12;222.12;239.53;245.28;261.40;269.33;3066.75
27/01/2023 01:45 -> 02:00;-300.00;-163.00;-107.89;-107.89;-107.89;-107.89;-107.89;-107.89;-107.89;-107.89;5.45;192.43;220.84;222.12;222.12;222.12;222.12;239.53;245.28;261.40;269.33;3226.96
27/01/2023 02:00 -> 02:15;-300.00;-163.00;-163.00;-163.00;-107.51;-107.51;-107.51;-107.51;-107.51;-107.51;6.89;155.42;220.84;222.12;222.12;222.12;222.12;238.60;239.53;245.28;261.40;3228.08
27/01/2023 02:15 -> 02:30;-999.00;-163.00;-163.00;-163.00;-107.51;-107.51;-107.51;-107.51;-107.51;-107.51;6.89;155.42;220.84;222.12;222.12;222.12;222.12;238.60;239.53;245.28;261.40;3069.53
