Quarter;-Max;-1000MW;-900MW;-800MW;-700MW;-600MW;-500MW;-400MW;-300MW;-200MW;-100MW;100MW;200MW;300MW;400MW;500MW;600MW;700MW;800MW;900MW;1000MW;Max
27/01/2023 02:30 -> 02:45;-999.00;-168.00;-163.00;-163.00;-107.96;-107.96;-107.96;-107.96;-107.96;-107.96;6.89;155.42;220.84;222.12;222.12;222.12;222.12;238.60;239.53;245.28;261.40;3138.48
27/01/2023 02:45 -> 03:00;-999.00;-168.00;-163.00;-163.00;-107.96;-107.96;-107.96;-107.96;-107.96;-107.96;6.89;155.42;220.84;222.12;222.12;222.12;222.12;238.60;239.53;245.28;261.40;3224.38
27/01/2023 03:00 -> 03:15;-999.00;-163.00;-163.00;-100.58;-100.58;-100.58;-100.58;-100.58;-100.58;-100.58;10.07;158.48;220.84;222.12;222.12;222.12;222.12;238.60;239.53;245.28;261.40;3229.58
27/01/2023 03:15 -> 03:30;-999.00;-163.00;-163.00;-100.96;-100.96;-100.96;-100.96;-100.96;-100.96;-100.96;10.07;166.05;220.84;222.12;222.12;222.12;222.12;238.60;239.53;245.28;261.40;3596.96
27/01/2023 03:30 -> 03:45;-999.00;-163.00;-163.00;-100.94;-100.94;-100.94;-100.94;-100.94;-100.94;-100.94;10.83;166.05;238.60;359.86;360.85;397.82;477.33;477.33;614.00;700.19;700.19;2952.61
27/01/2023 03:45 -> 04:00;-999.00;-163.00;-163.00;-101.33;-101.33;-101.33;-101.33;-101.33;-101.33;-101.33;10.83;166.05;220.84;222.12;222.12;222.12;222.12;238.60;239.53;245.28;261.40;2968.43
27/01/2023 04:00 -> 04:15;-999.00;-163.00;-163.00;-126.03;-126.03;-126.03;-126.03;-126.03;-126.03;-78.45;12.41;165.45;220.84;222.12;222.12;222.12;222.12;238.60;239.53;245.28;261.40;2859.13
27/01/2023 04:15 -> 04:30;-999.00;-163.00;-163.00;-127.36;-127.36;-127.36;-127.36;-127.36;-127.36;-86.83;12.41;165.45;220.84;222.12;222.12;222.12;222.12;238.60;239.53;245.28;261.40;3190.40
27/01/2023 04:30 -> 04:45;-999.00;-163.00;-163.00;-128.73;-128.73;-128.73;-128.73;-128.73;-128.73;-95.20;12.41;165.45;220.84;222.12;222.12;222.12;222.12;238.60;239.53;245.28;261.40;3190.40
27/01/2023 04:45 -> 05:00;-999.00;-163.00;-163.00;-129.66;-129.66;-129.66;-129.66;-129.66;-129.66;-101.61;12.41;165.45;220.84;222.12;222.12;222.12;222.12;238.60;239.53;245.28;261.40;3190.40
27/01/2023 05:00 -> 05:15;-999.00;-163.00;-163.00;-132.10;-132.10;-132.10;-132.10;-132.10;-132.10;-113.48;10.33;166.37;220.84;222.12;222.12;222.12;222.12;238.60;239.53;245.28;261.40;3190.40
27/01/2023 05:15 -> 05:30;-999.00;-163.00;-163.00;-133.49;-133.49;-133.49;-133.49;-133.49;-133.49;-127.30;10.33;166.37;220.84;222.12;222.12;222.12;222.12;238.60;239.53;245.28;261.40;3190.40
27/01/2023 05:30 -> 05:45;-999.00;-163.00;-163.00;-136.11;-136.11;-136.11;-136.11;-136.11;-136.11;-136.11;10.33;166.37;220.84;222.12;222.12;222.12;222.12;238.60;239.53;245.28;261.40;3190.40
27/01/2023 05:45 -> 06:00;-999.00;-163.00;-163.00;-138.31;-138.31;-138.31;-138.31;-138.31;-138.31;-138.31;10.33;166.37;220.84;222.12;222.12;222.12;222.12;238.60;238.60;239.53;245.28;3190.40
27/01/2023 06:00 -> 06:15;-999.00;-140.85;-140.85;-140.85;-140.85;-140.85;-140.85;-140.85;-140.85;-140.85;10.07;175.79;238.60;238.60;261.40;266.60;275.80;275.80;601.93;1000.00;2000.00;3190.40
27/01/2023 06:15 -> 06:30;-999.00;-141.45;-141.45;-141.45;-141.45;-141.45;-141.45;-141.45;-141.45;-141.45;10.07;175.79;238.60;238.60;261.40;266.60;275.80;398.80;601.93;1450.00;2000.00;3190.40
27/01/2023 06:30 -> 06:45;-999.00;-141.45;-141.45;-141.45;-141.45;-141.45;-141.45;-141.45;-141.45;-141.45;10.07;175.79;238.60;238.60;261.40;269.33;275.80;398.80;601.93;1450.00;2000.00;3190.40
27/01/2023 06:45 -> 07:00;-999.00;-141.63;-141.63;-141.63;-141.63;-141.63;-141.63;-141.63;-141.63;-141.63;10.07;175.79;238.60;239.53;261.40;269.33;275.80;500.00;612.93;2000.00;3190.40;3190.40
27/01/2023 07:00 -> 07:15;-999.00;-105.34;-105.34;-105.34;-105.34;-105.34;-105.34;-105.34;-105.34;-39.03;45.57;195.79;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;3190.40;3190.40;3190.40
27/01/2023 07:15 -> 07:30;-999.00;-104.60;-104.60;-104.60;-104.60;-104.60;-104.60;-104.60;-104.60;-33.35;45.57;195.79;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;3190.40;3190.40;3190.40
27/01/2023 07:30 -> 07:45;-999.00;-103.88;-103.88;-103.88;-103.88;-103.88;-103.88;-103.88;-103.88;-27.67;45.57;195.79;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;3190.40;3190.40;3190.40
27/01/2023 07:45 -> 08:00;-999.00;-103.17;-103.17;-103.17;-103.17;-103.17;-103.17;-103.17;-103.17;-22.31;45.57;195.79;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;3190.40;3190.40;3190.40
27/01/2023 08:00 -> 08:15;-999.00;-89.54;-89.54;-89.54;-89.54;-89.54;-89.54;-89.54;-89.54;27.19;69.46;200.84;261.40;266.60;275.80;324.01;601.93;2000.00;3190.40;3190.40;3190.40;3190.40
27/01/2023 08:15 -> 08:30;-999.00;-90.28;-90.28;-90.28;-90.28;-90.28;-90.28;-90.28;-90.28;27.19;69.46;200.84;261.40;266.60;275.80;324.01;601.93;2000.00;3190.40;3190.40;3190.40;3190.40
27/01/2023 08:30 -> 08:45;-999.00;-91.03;-91.03;-91.03;-91.03;-91.03;-91.03;-91.03;-91.03;27.19;69.46;200.84;261.40;266.60;275.80;324.01;601.93;2000.00;3190.40;3190.40;3190.40;3190.40
27/01/2023 08:45 -> 09:00;-999.00;-91.26;-91.26;-91.26;-91.26;-91.26;-91.26;-91.26;-91.26;27.51;69.46;200.84;261.40;266.60;275.80;324.01;601.93;2000.00;3190.40;3190.40;3190.40;3190.40
27/01/2023 09:00 -> 09:15;-999.00;-92.05;-92.05;-92.05;-92.05;-92.05;-92.05;-92.05;-92.05;27.51;69.46;203.76;261.40;266.60;275.80;324.01;601.93;2000.00;3190.40;3190.40;3190.40;3190.40
27/01/2023 09:15 -> 09:30;-999.00;-97.23;-97.23;-97.23;-97.23;-97.23;-97.23;-97.23;-97.23;7.30;69.46;203.76;261.40;266.60;275.80;324.01;601.93;2000.00;3190.40;3190.40;3190.40;3190.40
27/01/2023 09:30 -> 09:45;-999.00;-102.02;-102.02;-102.02;-102.02;-102.02;-102.02;-102.02;-102.02;-30.43;69.46;203.76;261.40;266.60;275.80;324.01;601.93;2000.00;3190.40;3190.40;3190.40;3190.40
27/01/2023 09:45 -> 10:00;-300.00;-106.74;-106.74;-106.74;-106.74;-106.74;-106.74;-106.74;-106.74;-64.76;69.46;203.76;261.40;266.60;275.80;324.01;601.93;2000.00;3190.40;3190.40;3190.40;3190.40
27/01/2023 10:00 -> 10:15;-300.00;-114.09;-114.09;-114.09;-114.09;-114.09;-114.09;-114.09;-114.09;-114.09;69.46;204.31;261.40;266.60;275.80;324.01;601.93;2000.00;3190.40;3190.40;3190.40;3190.40
27/01/2023 10:15 -> 10:30;-999.00;-116.66;-116.66;-116.66;-116.66;-116.66;-116.66;-116.66;-116.66;-116.66;69.46;204.31;261.40;266.60;275.80;324.01;601.93;2000.00;3190.40;3190.40;3190.40;3190.40
27/01/2023 10:30 -> 10:45;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;204.31;261.40;266.60;275.80;324.01;601.93;2000.00;3190.40;3190.40;3190.40;3190.40
27/01/2023 10:45 -> 11:00;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;204.31;261.40;266.60;275.80;324.01;601.93;2000.00;3190.40;3190.40;3190.40;3190.40
27/01/2023 11:00 -> 11:15;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;208.46;261.40;266.60;275.80;324.01;601.93;2000.00;3190.40;3190.40;3190.40;3190.40
27/01/2023 11:15 -> 11:30;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;208.46;261.40;266.60;275.80;324.01;601.93;2000.00;3190.40;3190.40;3190.40;3190.40
27/01/2023 11:30 -> 11:45;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;208.46;261.40;266.60;275.80;324.01;601.93;2000.00;3190.40;3190.40;3190.40;3190.40
27/01/2023 11:45 -> 12:00;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;208.46;261.40;266.60;275.80;324.01;601.93;2000.00;3190.40;3190.40;3190.40;3190.40
27/01/2023 12:00 -> 12:15;-999.00;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;70.89;194.91;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;3190.40;3190.40;3190.40
27/01/2023 12:15 -> 12:30;-999.00;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;70.89;194.91;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;3190.40;3190.40;3190.40
27/01/2023 12:30 -> 12:45;-999.00;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;70.89;194.91;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;3190.40;3190.40;3190.40
27/01/2023 12:45 -> 13:00;-999.00;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;70.89;194.91;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;3190.40;3190.40;3190.40
27/01/2023 13:00 -> 13:15;-999.00;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;70.89;187.55;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;3190.40;3190.40;3190.40
27/01/2023 13:15 -> 13:30;-999.00;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;70.89;187.55;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;3190.40;3190.40;3190.40
27/01/2023 13:30 -> 13:45;-999.00;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;70.89;187.55;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;3190.40;3190.40;3190.40
27/01/2023 13:45 -> 14:00;-999.00;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;70.89;187.55;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;3190.40;3190.40;3190.40
27/01/2023 14:00 -> 14:15;-999.00;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;70.89;187.73;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;3190.40;3190.40;3190.40
27/01/2023 14:15 -> 14:30;-999.00;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;70.89;187.73;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;3190.40;3190.40;3190.40
27/01/2023 14:30 -> 14:45;-999.00;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;70.89;187.73;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;3190.40;3190.40;3190.40
27/01/2023 14:45 -> 15:00;-999.00;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;70.89;187.73;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;3190.40;3190.40;3190.40
27/01/2023 15:00 -> 15:15;-999.00;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;70.89;200.74;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;3190.40;3190.40;3190.40
27/01/2023 15:15 -> 15:30;-999.00;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;70.89;200.74;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;3190.40;3190.40;3190.40
27/01/2023 15:30 -> 15:45;-999.00;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;70.89;200.74;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;3190.40;3190.40;3190.40
27/01/2023 15:45 -> 16:00;-999.00;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;-115.72;70.89;200.74;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;3190.40;3190.40;3190.40
27/01/2023 16:00 -> 16:15;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;194.05;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;2985.62;2985.62;2985.62
27/01/2023 16:15 -> 16:30;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;194.05;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;2985.62;2985.62;2985.62
27/01/2023 16:30 -> 16:45;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;194.05;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;2985.62;2985.62;2985.62
27/01/2023 16:45 -> 17:00;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;194.05;261.40;266.60;275.80;275.80;601.93;1450.00;2000.00;2985.62;2985.62;2985.62
27/01/2023 17:00 -> 17:15;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;202.27;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;2985.62;2985.62;2985.62
27/01/2023 17:15 -> 17:30;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;202.27;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;2985.62;2985.62;2985.62
27/01/2023 17:30 -> 17:45;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;202.27;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;2985.62;2985.62;2985.62
27/01/2023 17:45 -> 18:00;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;202.27;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;2985.62;2985.62;2985.62
27/01/2023 18:00 -> 18:15;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;204.84;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;2985.62;2985.62;2985.62
27/01/2023 18:15 -> 18:30;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;204.84;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;2985.62;2985.62;2985.62
27/01/2023 18:30 -> 18:45;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;204.84;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;2985.62;2985.62;2985.62
27/01/2023 18:45 -> 19:00;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;204.84;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;2985.62;2985.62;2985.62
27/01/2023 19:00 -> 19:15;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;198.45;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;2985.62;2985.62;2985.62
27/01/2023 19:15 -> 19:30;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;198.45;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;2985.62;2985.62;2985.62
27/01/2023 19:30 -> 19:45;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;198.45;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;2985.62;2985.62;2985.62
27/01/2023 19:45 -> 20:00;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;198.45;261.40;266.60;275.80;324.01;601.93;1450.00;2000.00;2985.62;2985.62;2985.62
27/01/2023 20:00 -> 20:15;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;206.26;261.40;266.60;275.80;324.01;601.25;950.08;2000.00;2000.00;2000.00;2000.00
27/01/2023 20:15 -> 20:30;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;206.26;261.40;266.60;275.80;275.80;408.11;612.93;2000.00;2000.00;2000.00;2000.00
27/01/2023 20:30 -> 20:45;-999.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;206.26;261.40;266.60;275.80;275.80;408.11;612.93;2000.00;2000.00;2000.00;2000.00
27/01/2023 20:45 -> 21:00;-250.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;206.26;224.62;261.40;269.33;275.80;398.80;601.93;1450.00;2000.00;2000.00;2000.00
27/01/2023 21:00 -> 21:15;-250.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;189.61;261.40;266.60;275.80;324.01;601.25;950.08;2000.00;2000.00;2000.00;2000.00
27/01/2023 21:15 -> 21:30;-250.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;189.61;261.40;266.60;275.80;324.01;601.25;950.08;2000.00;2000.00;2000.00;2000.00
27/01/2023 21:30 -> 21:45;-250.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;189.61;222.12;222.12;222.12;222.12;225.01;225.01;225.01;261.40;266.60;2000.00
27/01/2023 21:45 -> 22:00;-250.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;189.61;222.12;222.12;222.12;222.12;225.01;225.01;225.01;261.40;266.60;2000.00
27/01/2023 22:00 -> 22:15;-250.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;190.16;222.12;222.12;222.12;222.12;225.01;225.01;225.01;261.40;266.60;2000.00
27/01/2023 22:15 -> 22:30;-250.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;190.16;222.12;222.12;222.12;222.12;225.01;225.01;225.01;261.40;266.60;2000.00
27/01/2023 22:30 -> 22:45;-250.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;190.16;222.12;222.12;222.12;222.12;225.01;225.01;225.01;261.40;266.60;2000.00
27/01/2023 22:45 -> 23:00;-250.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;190.16;222.12;222.12;222.12;222.12;225.01;225.01;225.01;261.40;266.60;2000.00
27/01/2023 23:00 -> 23:15;-250.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;168.36;222.12;222.12;222.12;222.12;225.01;225.01;225.01;238.60;238.60;2000.00
27/01/2023 23:15 -> 23:30;-250.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;168.36;222.12;222.12;222.12;222.12;225.01;225.01;225.01;238.60;238.60;2000.00
27/01/2023 23:30 -> 23:45;-250.00;-250.00;-175.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;160.16;222.12;222.12;222.12;222.12;225.01;225.01;225.01;238.60;238.60;2000.00
27/01/2023 23:45 -> 00:00;-250.00;-250.00;-175.00;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;-122.22;69.46;160.16;220.84;222.12;222.12;222.12;222.12;225.01;225.01;225.01;238.60;2000.00
