System imbalance forecast,Input data availability,"Probability in [-400,-200]",Prediction Datetime,"Probability in [400,inf]","Probability in [-inf,-400]","Probability in [-200,0]",Resolution code,Quarter hour,"Probability in [0,200]","Probability in [200,400]"
77.30603821699296,1.0,0.0003986127682352882,2023-01-27T03:06:06+00:00,0.0011014706754035506,1.2056030116274705e-07,0.15627065066447096,PT1M,2023-01-27T03:00:00+00:00,0.7608466933009607,0.0813824520306284
82.6269002088151,1.0,0.0024641916323812135,2023-01-27T03:05:06+00:00,0.0037238057894268964,1.1219887426643182e-05,0.1932878164357149,PT1M,2023-01-27T03:00:00+00:00,0.6766885160191477,0.12382445023590274
82.6269002088151,1.0,0.0024641916323812135,2023-01-27T03:04:06+00:00,0.0037238057894268964,1.1219887426643182e-05,0.1932878164357149,PT1M,2023-01-27T03:00:00+00:00,0.6766885160191477,0.12382445023590274
60.59359751972965,1.0,0.029008723933532325,2023-01-27T03:03:06+00:00,0.0027591190939255427,0.0015061445230749877,0.3805852327762263,PT1M,2023-01-27T03:00:00+00:00,0.5240926758521299,0.06204810382111088
-0.25982016157530197,1.0,0.05024497070831682,2023-01-27T03:02:06+00:00,0.0012477101235844287,0.003962631029670057,0.4910468535095705,PT1M,2023-01-27T03:00:00+00:00,0.4202784147148624,0.03321941991399566
-39.45704381614192,1.0,0.05239130204661083,2023-01-27T03:01:06+00:00,0.0016642178067606261,0.0041496875978923615,0.4930441443805184,PT1M,2023-01-27T03:00:00+00:00,0.4110429641688897,0.03770768399932812
-15.108733528458878,1.0,0.04669930710668059,2023-01-27T03:00:06+00:00,0.0021688764618957293,0.004090722533971605,0.44335837121174865,PT1M,2023-01-27T03:00:00+00:00,0.45528074478069624,0.04840197790500722
-6.229953293405973,1.0,9.050855495893503e-06,2023-01-27T02:59:06+00:00,1.6401624907640213e-12,2.7307472432625944e-13,0.6653394918645856,PT1M,2023-01-27T02:45:00+00:00,0.33464491368728944,6.543590715740362e-06
-12.25390569880783,1.0,3.952281113193192e-05,2023-01-27T02:58:07+00:00,2.9952527526593307e-11,1.0886751095339496e-11,0.6694929998626571,PT1M,2023-01-27T02:45:00+00:00,0.3304439857064512,2.3491578920520547e-05
-14.199001106875336,1.0,0.00011549222029755346,2023-01-27T02:57:06+00:00,4.3889345917785705e-10,1.9458313586808048e-10,0.6404062796723141,PT1M,2023-01-27T02:45:00+00:00,0.3594018097239439,7.641774996779868e-05
-2.9176676703407587,1.0,0.0002707425325947721,2023-01-27T02:56:06+00:00,5.9178213701503924e-09,1.7583536770464388e-09,0.6288198018528415,PT1M,2023-01-27T02:45:00+00:00,0.37066910898227756,0.000240338956111078
-16.772451894973585,1.0,0.0006398172035414386,2023-01-27T02:55:06+00:00,3.7517633061443986e-08,1.593958051880182e-08,0.5782614453523293,PT1M,2023-01-27T02:45:00+00:00,0.420531072205016,0.0005676117818997002
6.53979584448949,1.0,0.0014096493567758975,2023-01-27T02:54:06+00:00,1.1920271801460827e-07,1.2148790463861872e-07,0.522464523960524,PT1M,2023-01-27T02:45:00+00:00,0.4750501386759323,0.0010754473161451701
-25.98203108721844,1.0,0.006977125591916376,2023-01-27T02:53:06+00:00,1.0076749801093365e-06,4.2146669514686664e-06,0.6618097924379138,PT1M,2023-01-27T02:45:00+00:00,0.32972410018024845,0.0014837594479897849
-23.403484303397832,1.0,0.007633988939138166,2023-01-27T02:52:06+00:00,8.639180362638539e-06,7.510273302291205e-06,0.5789539951872207,PT1M,2023-01-27T02:45:00+00:00,0.40885881206025676,0.004537054359719408
18.849677362036115,1.0,0.003707127311347073,2023-01-27T02:51:06+00:00,9.888042629107734e-05,4.9076909620893786e-06,0.3454962227299182,PT1M,2023-01-27T02:45:00+00:00,0.6266991726317271,0.02399368920975451
49.14119956737422,1.0,0.0031743880228009887,2023-01-27T02:50:06+00:00,0.0004334455566528808,8.253012719669631e-06,0.24086261862871514,PT1M,2023-01-27T02:45:00+00:00,0.6952741998831773,0.06024709489593419
61.879174089077495,1.0,0.006648816665064771,2023-01-27T02:49:07+00:00,0.0011917109952488988,4.7129656613967404e-05,0.2880875024316178,PT1M,2023-01-27T02:45:00+00:00,0.6225836543685775,0.08144118588287706
117.99503550475936,1.0,0.001847141397014031,2023-01-27T02:48:07+00:00,0.030426608129172236,2.3920393171278464e-05,0.10383683694132352,PT1M,2023-01-27T02:45:00+00:00,0.5598141350617386,0.3040513580775803
125.31869829974795,1.0,0.0024239267054068105,2023-01-27T02:47:06+00:00,0.01706037771432671,3.043369081736204e-05,0.12904547119603238,PT1M,2023-01-27T02:45:00+00:00,0.5207825726443523,0.3306572180490642
135.13450615079736,1.0,0.003265346809660248,2023-01-27T02:46:07+00:00,0.016619870080304616,4.698897927953182e-05,0.13955683364786126,PT1M,2023-01-27T02:45:00+00:00,0.523227899298824,0.3172830611840704
139.9284183345628,1.0,0.004618110868372125,2023-01-27T02:45:06+00:00,0.015054029296395035,8.25381185842207e-05,0.15337992735605008,PT1M,2023-01-27T02:45:00+00:00,0.5335725236486419,0.29329287071195664
109.79043766860377,1.0,2.375952100481236e-11,2023-01-27T02:44:07+00:00,1.236956020970491e-08,1.1255733934189738e-20,0.0006452423297450094,PT1M,2023-01-27T02:30:00+00:00,0.9968477449828885,0.002507000294046665
109.61478546417983,1.0,2.7095422418617348e-09,2023-01-27T02:43:06+00:00,5.403006359878847e-08,2.1370848100745274e-17,0.004320788533565548,PT1M,2023-01-27T02:30:00+00:00,0.992538310471133,0.003140844255695627
