Prediction Datetime,Resolution code,Quarter hour,Input data availability,System imbalance forecast,"Probability in [-inf,-400]","Probability in [-400,-200]","Probability in [-200,0]","Probability in [0,200]","Probability in [200,400]","Probability in [400,inf]"
2023-01-31T08:49:08+00:00,PT1M,2023-01-31T08:45:00+00:00,1.0,38.71531601687481,9.601853424108667e-05,0.0099308360463744,0.2643123649343025,0.5798106156967834,0.1386229563695295,0.0072272084187691
2023-01-31T08:48:06+00:00,PT1M,2023-01-31T08:45:00+00:00,1.0,57.34203168956861,0.0017892212342448,0.0306167050161183,0.3042612934917437,0.506652485479182,0.1410990968903328,0.0155811978883782
2023-01-31T08:47:06+00:00,PT1M,2023-01-31T08:45:00+00:00,1.0,42.45425772556911,0.0045932845599977,0.0612566889710189,0.4817318559456,0.3917782561260434,0.0530230837313804,0.0076168306659593
2023-01-31T08:46:06+00:00,PT1M,2023-01-31T08:45:00+00:00,1.0,-14.584476768578076,0.0103174203791805,0.0936922768792524,0.5113339877639864,0.3373244849306979,0.041348168184129,0.0059836618627539
2023-01-31T08:45:06+00:00,PT1M,2023-01-31T08:45:00+00:00,1.0,11.51508307135473,0.0205972078003584,0.1273172278530655,0.498749140588262,0.3137768255158733,0.0350177171312986,0.0045418811111419
2023-01-31T08:44:06+00:00,PT1M,2023-01-31T08:30:00+00:00,1.0,-18.56524311383893,9.008689997834213e-13,3.9108363052079846e-05,0.8931340445764056,0.1068253302129239,1.5168444915219412e-06,2.2260625672513987e-12
2023-01-31T08:43:07+00:00,PT1M,2023-01-31T08:30:00+00:00,1.0,-31.65421486202815,2.8330037074442102e-11,0.0001627356599412,0.9073395383982872,0.0924929075121461,4.818364890784141e-06,3.640472052862341e-11
2023-01-31T08:42:07+00:00,PT1M,2023-01-31T08:30:00+00:00,1.0,-49.40090942214074,3.335866079570927e-10,0.000370048096675,0.8676068911476035,0.1320000447487612,2.3014930522612496e-05,7.428508924781662e-10
2023-01-31T08:41:07+00:00,PT1M,2023-01-31T08:30:00+00:00,1.0,-30.57937996056936,1.703620099567294e-09,0.0005248016410535,0.7392767665860759,0.260036155675643,0.0001622530864653,2.130714212789276e-08
2023-01-31T08:40:06+00:00,PT1M,2023-01-31T08:30:00+00:00,1.0,-26.017352171170245,6.943771781405799e-09,0.0007396661716972,0.6177640805977518,0.3807664490262112,0.0007294681692529,3.290913149519983e-07
2023-01-31T08:39:06+00:00,PT1M,2023-01-31T08:30:00+00:00,1.0,-2.059243608176345,2.1383087237274553e-08,0.0008599918325782,0.4594452601702676,0.5368389212061189,0.0028528048149905,3.000592957298739e-06
2023-01-31T08:38:08+00:00,PT1M,2023-01-31T08:30:00+00:00,1.0,16.33811204283809,9.585061161845987e-08,0.0007340672119029,0.2744368943400636,0.6923576799587563,0.0322465338055891,0.0002247288330764
2023-01-31T08:37:06+00:00,PT1M,2023-01-31T08:30:00+00:00,1.0,35.380229665463446,3.396299440086933e-07,0.0010947879231052,0.2367041455681214,0.69992103662747,0.0616492297582316,0.0006304604931277
2023-01-31T08:36:07+00:00,PT1M,2023-01-31T08:30:00+00:00,1.0,59.81423349414631,7.643367347990175e-07,0.0008302247308276,0.1454365864694813,0.7350009452486228,0.1172733223149875,0.0014581568993457
2023-01-31T08:35:06+00:00,PT1M,2023-01-31T08:30:00+00:00,1.0,21.687806640659765,2.9264537588582773e-05,0.0068657568361634,0.2968546120895312,0.6264345308893245,0.0684097655179129,0.0014060701294792
2023-01-31T08:34:06+00:00,PT1M,2023-01-31T08:30:00+00:00,1.0,-25.51464314947592,0.0012024635490481,0.0385688952031417,0.4602212449792118,0.4584615020593527,0.040398819451127,0.0011470747581185
2023-01-31T08:33:06+00:00,PT1M,2023-01-31T08:30:00+00:00,1.0,-61.38635509487541,0.0254450119990999,0.1270537748258214,0.4986737594058325,0.3152642899665874,0.0316283394416807,0.001934824360978
2023-01-31T08:32:06+00:00,PT1M,2023-01-31T08:30:00+00:00,1.0,-86.81156398744264,0.0691376474213813,0.1644462539865213,0.5722724629920484,0.1836449590194703,0.0100765821629342,0.0004220944176444
2023-01-31T08:31:06+00:00,PT1M,2023-01-31T08:30:00+00:00,1.0,-107.71938534156098,0.0805011441274001,0.1656513742100401,0.5697707871643395,0.1728847757616252,0.0106692047027016,0.0005227140338934
2023-01-31T08:30:06+00:00,PT1M,2023-01-31T08:30:00+00:00,1.0,-91.8175542490898,0.0890330618567162,0.1656825999848626,0.5600887213710495,0.1726965825332664,0.0118521573744656,0.0006468768796394
2023-01-31T08:29:07+00:00,PT1M,2023-01-31T08:15:00+00:00,1.0,-100.77187508834794,1.277899033322639e-07,0.0096948099368711,0.9899809114572904,0.0003241507865143,2.9420617119568616e-11,2.1060940014692618e-19
2023-01-31T08:28:06+00:00,PT1M,2023-01-31T08:15:00+00:00,1.0,-94.75398816216963,2.1506235801453604e-06,0.0287679442582906,0.9704679698310648,0.0007619350019846,2.8507978199985633e-10,1.2823858349611369e-17
2023-01-31T08:27:06+00:00,PT1M,2023-01-31T08:15:00+00:00,1.0,-112.5537854771456,2.7710362638331843e-05,0.0856422835495055,0.9133108265230482,0.0010191785265787,1.0382289670411268e-09,2.9246426922796263e-16
2023-01-31T08:26:06+00:00,PT1M,2023-01-31T08:15:00+00:00,1.0,-129.3069328133926,0.00030305679248,0.2299816059271196,0.7686606786841474,0.0010546561438144,2.452434341579834e-09,3.87161623287035e-15
