Prediction Datetime,Resolution code,Quarter hour,Input data availability,System imbalance forecast,"Probability in [-inf,-400]","Probability in [-400,-200]","Probability in [-200,0]","Probability in [0,200]","Probability in [200,400]","Probability in [400,inf]"
2023-01-31T17:10:06+00:00,PT1M,2023-01-31T17:15:00+00:00,1.0,-338.21000019449946,0.7194505777654261,0.2187000410008845,0.0587483317397423,0.0030693540282336,3.111250022125826e-05,5.829654921936586e-07
2023-01-31T17:09:06+00:00,PT1M,2023-01-31T17:15:00+00:00,1.0,-299.861435736589,0.7011459417172047,0.22717812010626,0.0668003078119205,0.0048166774193382,5.7858777472287377e-05,1.0941678039184565e-06
2023-01-31T17:08:06+00:00,PT1M,2023-01-31T17:15:00+00:00,1.0,-286.3095728433703,0.717191115005977,0.2123518476687731,0.0636077339806284,0.0066879454421558,0.0001557920447138,5.565857751834046e-06
2023-01-31T17:07:06+00:00,PT1M,2023-01-31T17:15:00+00:00,1.0,-264.135502119671,0.6523171432574705,0.2472149654412668,0.0881270777309328,0.0119821931404365,0.000342739913086,1.5880516807160093e-05
2023-01-31T17:06:06+00:00,PT1M,2023-01-31T17:15:00+00:00,1.0,-245.69375528036136,0.5461245302567457,0.3002569547558105,0.1334706501991782,0.0194699453258018,0.0006500294793425,2.788998312125993e-05
2023-01-31T17:05:06+00:00,PT1M,2023-01-31T17:15:00+00:00,1.0,-227.48247056069712,0.4804119464282115,0.3199666961405205,0.1698264738849127,0.0284722059006088,0.0012512268398541,7.145080589248008e-05
2023-01-31T17:04:06+00:00,PT1M,2023-01-31T17:15:00+00:00,1.0,-199.7682087232089,0.4069491675253825,0.3312273240474774,0.2164511516861062,0.0426733138785027,0.002484059398416,0.000214983464115
2023-01-31T17:03:06+00:00,PT1M,2023-01-31T17:15:00+00:00,1.0,-214.76520550926008,0.6807431688447919,0.2095384865396539,0.0978192491743609,0.0114410498109907,0.0004284720118068,2.95736183956598e-05
2023-01-31T17:02:07+00:00,PT1M,2023-01-31T17:15:00+00:00,1.0,-214.76520550926008,0.6807431688447919,0.2095384865396539,0.0978192491743609,0.0114410498109907,0.0004284720118068,2.95736183956598e-05
2023-01-31T17:01:06+00:00,PT1M,2023-01-31T17:15:00+00:00,1.0,-282.69634341048885,0.7026166197411302,0.2007100972747045,0.0870069413970468,0.0092831294346051,0.0003571418915686,2.6070260944676165e-05
2023-01-31T17:00:07+00:00,PT1M,2023-01-31T17:15:00+00:00,1.0,-277.34657412306746,0.7034036828679042,0.1949495236401524,0.0904177274435479,0.0107175488850633,0.0004771964258775,3.432073745457109e-05
2023-01-31T16:59:06+00:00,PT1M,2023-01-31T17:00:00+00:00,1.0,-325.1135818269871,0.5497189570566068,0.3672555656587666,0.0794344824431824,0.0035441326261165,4.5855817125532135e-05,1.0063982021889231e-06
2023-01-31T16:58:06+00:00,PT1M,2023-01-31T17:00:00+00:00,1.0,-314.860830980523,0.5400641440843336,0.3531063692531511,0.1009820362395783,0.005747162772337,9.807281771221232e-05,2.2148328877058253e-06
2023-01-31T16:57:06+00:00,PT1M,2023-01-31T17:00:00+00:00,1.0,-272.0420740145914,0.5007557114236135,0.3603840245713635,0.1296266133233784,0.009033845486914,0.000195038155537,4.767039193472478e-06
2023-01-31T16:56:06+00:00,PT1M,2023-01-31T17:00:00+00:00,1.0,-280.99160906775944,0.4294598068522557,0.3938761712194684,0.1636787745935138,0.0126305593153962,0.0003444577671791,1.0230252186733488e-05
2023-01-31T16:55:06+00:00,PT1M,2023-01-31T17:00:00+00:00,1.0,-249.93469110306737,0.3413265572619977,0.4149671639726329,0.21881882102137,0.0240019938803007,0.0008539672302736,3.149663342505473e-05
2023-01-31T16:54:07+00:00,PT1M,2023-01-31T17:00:00+00:00,1.0,-216.90964190873444,0.3006127112258749,0.3932461516169289,0.2673324731192377,0.0370368654506889,0.0016969228212274,7.487576604207013e-05
2023-01-31T16:53:07+00:00,PT1M,2023-01-31T17:00:00+00:00,1.0,-144.2298551977235,0.2679652858084603,0.3145308421214881,0.3121209618026673,0.0945325323982332,0.0098599056794612,0.0009904721896896
2023-01-31T16:52:06+00:00,PT1M,2023-01-31T17:00:00+00:00,1.0,-116.09466579039734,0.1922656507556096,0.282877022796885,0.3480430348060043,0.1529506691175868,0.0213574624390278,0.0025061600848862
2023-01-31T16:51:06+00:00,PT1M,2023-01-31T17:00:00+00:00,1.0,-164.4273050990223,0.3046991917945777,0.3290174202920026,0.2823144475774706,0.0767161382905577,0.0068611954292743,0.0003916066161168
2023-01-31T16:50:06+00:00,PT1M,2023-01-31T17:00:00+00:00,1.0,-176.17682482247247,0.3386710392438885,0.3329774667060348,0.2578973225862567,0.0646237759470749,0.0054847111797196,0.000345684337025
2023-01-31T16:49:06+00:00,PT1M,2023-01-31T17:00:00+00:00,1.0,-162.78112937526785,0.2896046263659333,0.3263861674765274,0.2902405228508838,0.0839015403849801,0.0091118848073032,0.0007552581143717
2023-01-31T16:48:06+00:00,PT1M,2023-01-31T17:00:00+00:00,1.0,-171.7417827151983,0.3643784213568236,0.3134193631050682,0.2495136346084479,0.0656344715332018,0.0064953900803363,0.0005587193161221
2023-01-31T16:47:06+00:00,PT1M,2023-01-31T17:00:00+00:00,1.0,-198.2395772024448,0.364549828695012,0.3469418922763982,0.2326716098452741,0.0520358589268254,0.0035153229704504,0.0002854872860397
2023-01-31T16:46:06+00:00,PT1M,2023-01-31T17:00:00+00:00,1.0,-188.1584947194894,0.3800745591382957,0.3396209362186307,0.2228568035291447,0.053435707737931,0.0037202764231015,0.0002917169528963
2023-01-31T16:45:09+00:00,PT1M,2023-01-31T17:00:00+00:00,1.0,-186.88475692730043,0.3509301468429134,0.3617580314598057,0.2287930619768416,0.0542162476796422,0.0040016068693336,0.0003009051714634
2023-01-31T16:44:07+00:00,PT1M,2023-01-31T16:45:00+00:00,1.0,-294.24386738742567,0.3800797080959555,0.4717339165256145,0.1398443869664032,0.0082555218060351,8.444949761667395e-05,2.0171083749959467e-06
2023-01-31T16:43:06+00:00,PT1M,2023-01-31T16:45:00+00:00,1.0,-251.35433013047748,0.4383769337690202,0.4183311719282561,0.1320653304493506,0.0111096856781999,0.0001143548980599,2.523277113172715e-06
2023-01-31T16:42:06+00:00,PT1M,2023-01-31T16:45:00+00:00,1.0,-277.3958039140402,0.5117315111700618,0.3832109407808219,0.0985618959821617,0.0064365116851414,5.776659653161138e-05,1.3737852814554131e-06
2023-01-31T16:41:06+00:00,PT1M,2023-01-31T16:45:00+00:00,1.0,-299.0214849238149,0.5714755697072216,0.3381016623503832,0.0851298360634302,0.005243755202731,4.803191282571533e-05,1.144763408133172e-06
2023-01-31T16:40:06+00:00,PT1M,2023-01-31T16:45:00+00:00,1.0,-304.22994826920046,0.6420312673008074,0.2845004710921456,0.0689683941129208,0.004456732017683,4.216342988983862e-05,9.72046553352635e-07
2023-01-31T16:39:07+00:00,PT1M,2023-01-31T16:45:00+00:00,1.0,-302.1793720218799,0.6779316918250148,0.2591801589441948,0.0595569133213317,0.0032987338503693,3.172792681807263e-05,7.741322712639944e-07
2023-01-31T16:38:06+00:00,PT1M,2023-01-31T16:45:00+00:00,1.0,-302.9348949539975,0.6493812231541385,0.2633301478034347,0.0806981418912137,0.0064133171981247,0.0001692917443043,7.8782087840723e-06
